Object,Filter,MJD,Flux,Error,Tel,Obs
NGC_1365,u,59881.449878, 1.614, 0.015,1m011,coj
NGC_1365,u,59885.680029, 1.566, 0.011,1m011,coj
NGC_1365,u,59885.681735, 1.584, 0.011,1m011,coj
NGC_1365,u,59888.742259, 1.552, 0.013,1m011,coj
NGC_1365,u,59888.743953, 1.590, 0.014,1m011,coj
NGC_1365,u,59890.156401, 1.634, 0.015,1m009,lsc
NGC_1365,u,59890.158094, 1.636, 0.014,1m009,lsc
NGC_1365,u,59891.132601, 1.746, 0.018,1m009,lsc
NGC_1365,u,59891.134294, 1.814, 0.020,1m009,lsc
NGC_1365,u,59892.243910, 1.682, 0.019,1m004,lsc
NGC_1365,u,59893.308484, 1.643, 0.016,1m009,lsc
NGC_1365,u,59893.310176, 1.565, 0.019,1m009,lsc
NGC_1365,u,59897.240941, 1.554, 0.008,1m009,lsc
NGC_1365,u,59897.242634, 1.599, 0.009,1m009,lsc
NGC_1365,u,59897.586857, 1.554, 0.011,1m011,coj
NGC_1365,u,59897.588561, 1.537, 0.011,1m011,coj
NGC_1365,u,59898.551596, 1.561, 0.012,1m011,coj
NGC_1365,u,59899.281268, 1.598, 0.010,1m004,lsc
NGC_1365,u,59899.282945, 1.620, 0.010,1m004,lsc
NGC_1365,u,59899.635747, 1.566, 0.010,1m003,coj
NGC_1365,u,59899.637440, 1.543, 0.010,1m003,coj
NGC_1365,u,59900.991733, 1.623, 0.019,1m014,tfn
NGC_1365,u,59900.993426, 1.632, 0.018,1m014,tfn
NGC_1365,u,59902.189556, 1.562, 0.007,1m005,lsc
NGC_1365,u,59902.191249, 1.562, 0.007,1m005,lsc
NGC_1365,u,59903.325978, 1.564, 0.009,1m009,lsc
NGC_1365,u,59903.327670, 1.555, 0.009,1m009,lsc
NGC_1365,u,59904.106923, 1.589, 0.010,1m004,lsc
NGC_1365,u,59904.108616, 1.612, 0.010,1m004,lsc
NGC_1365,u,59905.515435, 1.559, 0.016,1m003,coj
NGC_1365,u,59905.517139, 1.607, 0.022,1m003,coj
NGC_1365,u,59906.644891, 1.571, 0.012,1m011,coj
NGC_1365,u,59906.646584, 1.547, 0.011,1m011,coj
NGC_1365,u,59907.346746, 1.562, 0.011,1m009,lsc
NGC_1365,u,59907.348432, 1.552, 0.011,1m009,lsc
NGC_1365,u,59908.332885, 1.574, 0.012,1m004,lsc
NGC_1365,u,59908.334566, 1.577, 0.012,1m004,lsc
NGC_1365,u,59909.341744, 1.616, 0.013,1m004,lsc
NGC_1365,u,59909.343437, 1.539, 0.013,1m004,lsc
NGC_1365,u,59910.314927, 1.587, 0.011,1m004,lsc
NGC_1365,u,59910.316608, 1.595, 0.011,1m004,lsc
NGC_1365,u,59911.468135, 1.535, 0.011,1m011,coj
NGC_1365,u,59911.469839, 1.561, 0.011,1m011,coj
NGC_1365,u,59913.003353, 1.655, 0.021,1m012,cpt
NGC_1365,u,59913.005046, 1.635, 0.021,1m012,cpt
NGC_1365,u,59915.084811, 1.606, 0.012,1m004,lsc
NGC_1365,u,59915.086503, 1.584, 0.012,1m004,lsc
NGC_1365,u,59916.179747, 1.599, 0.010,1m009,lsc
NGC_1365,u,59916.181441, 1.859, 0.012,1m009,lsc
NGC_1365,u,59918.173435, 1.615, 0.013,1m004,lsc
NGC_1365,u,59918.175130, 1.601, 0.013,1m004,lsc
NGC_1365,u,59921.169344, 1.630, 0.012,1m005,lsc
NGC_1365,u,59921.171048, 1.642, 0.012,1m005,lsc
NGC_1365,u,59922.928105, 1.579, 0.025,1m010,cpt
NGC_1365,u,59922.929798, 1.651, 0.026,1m010,cpt
NGC_1365,u,59924.158525, 1.553, 0.011,1m004,lsc
NGC_1365,u,59924.160218, 1.591, 0.012,1m004,lsc
NGC_1365,u,59926.288843, 1.626, 0.015,1m004,lsc
NGC_1365,u,59926.290536, 1.620, 0.015,1m004,lsc
NGC_1365,u,59927.472179, 1.549, 0.010,1m003,coj
NGC_1365,u,59927.473896, 1.567, 0.010,1m003,coj
NGC_1365,u,59928.524865, 1.563, 0.011,1m011,coj
NGC_1365,u,59928.526569, 1.558, 0.011,1m011,coj
NGC_1365,u,59929.539037, 1.552, 0.012,1m011,coj
NGC_1365,u,59931.097432, 1.588, 0.008,1m009,lsc
NGC_1365,u,59931.099125, 1.589, 0.008,1m009,lsc
NGC_1365,u,59931.907162, 1.596, 0.017,1m014,tfn
NGC_1365,u,59931.908855, 1.644, 0.017,1m014,tfn
NGC_1365,u,59933.090669, 1.549, 0.008,1m009,lsc
NGC_1365,u,59933.092373, 1.563, 0.008,1m009,lsc
NGC_1365,u,59933.906193, 1.637, 0.017,1m014,tfn
NGC_1365,u,59933.907886, 1.582, 0.017,1m014,tfn
NGC_1365,u,59934.959598, 1.591, 0.019,1m010,cpt
NGC_1365,u,59934.961291, 1.674, 0.020,1m010,cpt
NGC_1365,u,59936.108999, 1.566, 0.007,1m005,lsc
NGC_1365,u,59936.110691, 1.562, 0.007,1m005,lsc
NGC_1365,u,59938.144887, 1.650, 0.010,1m004,lsc
NGC_1365,u,59938.146581, 1.613, 0.010,1m004,lsc
NGC_1365,u,59939.933024, 1.644, 0.019,1m010,cpt
NGC_1365,u,59939.934717, 1.600, 0.019,1m010,cpt
NGC_1365,u,59940.878514, 1.720, 0.020,1m012,cpt
NGC_1365,u,59940.880195, 1.709, 0.020,1m012,cpt
NGC_1365,u,59941.961328, 1.602, 0.023,1m012,cpt
NGC_1365,u,59941.963021, 1.609, 0.023,1m012,cpt
NGC_1365,u,59942.887718, 1.650, 0.023,1m012,cpt
NGC_1365,u,59944.132373, 1.584, 0.010,1m009,lsc
NGC_1365,u,59944.469574, 1.569, 0.013,1m003,coj
NGC_1365,u,59944.471278, 1.540, 0.013,1m003,coj
NGC_1365,u,59945.490061, 1.582, 0.014,1m003,coj
NGC_1365,u,59945.491802, 1.567, 0.013,1m003,coj
NGC_1365,u,59946.896345, 1.533, 0.026,1m012,cpt
NGC_1365,u,59947.480631, 1.614, 0.016,1m011,coj
NGC_1365,u,59947.482335, 1.557, 0.015,1m011,coj
NGC_1365,u,59948.509178, 1.588, 0.015,1m003,coj
NGC_1365,u,59948.510895, 1.578, 0.014,1m003,coj
NGC_1365,u,59950.089570, 1.626, 0.016,1m004,lsc
NGC_1365,u,59950.091263, 1.616, 0.016,1m004,lsc
NGC_1365,u,59952.144926, 1.570, 0.011,1m005,lsc
NGC_1365,u,59952.146618, 1.557, 0.011,1m005,lsc
NGC_1365,u,59954.856713, 1.706, 0.020,1m010,cpt
NGC_1365,u,59954.858417, 1.667, 0.020,1m010,cpt
NGC_1365,u,59956.151945, 1.840, 0.011,1m009,lsc
NGC_1365,u,59956.153637, 1.878, 0.012,1m009,lsc
NGC_1365,u,59956.909590, 1.569, 0.012,1m010,cpt
NGC_1365,u,59956.911282, 1.600, 0.012,1m010,cpt
NGC_1365,u,59958.059461, 1.618, 0.008,1m009,lsc
NGC_1365,u,59958.061153, 1.631, 0.008,1m009,lsc
NGC_1365,u,59959.187646, 1.600, 0.010,1m009,lsc
NGC_1365,u,59959.189339, 1.586, 0.010,1m009,lsc
NGC_1365,u,59960.180175, 1.597, 0.008,1m005,lsc
NGC_1365,u,59960.181868, 1.598, 0.008,1m005,lsc
NGC_1365,u,59961.194390, 1.620, 0.011,1m009,lsc
NGC_1365,u,59961.196094, 1.617, 0.011,1m009,lsc
NGC_1365,u,59962.166337, 1.643, 0.012,1m004,lsc
NGC_1365,u,59962.168030, 1.630, 0.012,1m004,lsc
NGC_1365,u,59964.867064, 1.615, 0.009,1m012,cpt
NGC_1365,u,59964.868745, 1.589, 0.009,1m012,cpt
NGC_1365,u,59965.806191, 1.605, 0.008,1m013,cpt
NGC_1365,u,59965.807883, 1.603, 0.008,1m013,cpt
NGC_1365,u,59967.059598, 1.617, 0.010,1m004,lsc
NGC_1365,u,59967.061290, 1.612, 0.010,1m004,lsc
NGC_1365,u,59967.573416, 1.631, 0.015,1m003,coj
NGC_1365,u,59967.575121, 1.634, 0.015,1m003,coj
NGC_1365,u,59968.819422, 1.639, 0.009,1m010,cpt
NGC_1365,u,59968.821114, 1.624, 0.009,1m010,cpt
NGC_1365,u,59970.103268, 1.646, 0.011,1m004,lsc
NGC_1365,u,59970.104961, 1.616, 0.011,1m004,lsc
NGC_1365,u,59970.442533, 1.590, 0.013,1m011,coj
NGC_1365,u,59970.444273, 1.625, 0.013,1m011,coj
NGC_1365,u,59971.850072, 1.611, 0.009,1m013,cpt
NGC_1365,u,59971.851776, 1.586, 0.009,1m013,cpt
NGC_1365,u,59973.132330, 1.649, 0.013,1m004,lsc
NGC_1365,u,59973.134022, 1.599, 0.012,1m004,lsc
NGC_1365,u,59974.107682, 1.589, 0.009,1m005,lsc
NGC_1365,u,59974.109374, 1.576, 0.009,1m005,lsc
NGC_1365,u,59975.070880, 1.572, 0.011,1m009,lsc
NGC_1365,u,59975.072596, 1.645, 0.011,1m009,lsc
NGC_1365,u,59976.055548, 1.623, 0.012,1m009,lsc
NGC_1365,u,59976.057240, 1.869, 0.013,1m009,lsc
NGC_1365,u,59977.474102, 1.611, 0.017,1m011,coj
NGC_1365,u,59977.475817, 1.674, 0.017,1m011,coj
NGC_1365,u,59978.150371, 1.656, 0.021,1m004,lsc
NGC_1365,u,59978.152064, 1.667, 0.021,1m004,lsc
NGC_1365,u,59979.510361, 1.638, 0.020,1m003,coj
NGC_1365,u,59979.512066, 1.592, 0.020,1m003,coj
NGC_1365,u,59980.483149, 1.585, 0.019,1m003,coj
NGC_1365,u,59980.484854, 1.610, 0.019,1m003,coj
NGC_1365,u,59981.531572, 1.713, 0.026,1m003,coj
NGC_1365,u,59981.533289, 1.677, 0.027,1m003,coj
NGC_1365,u,59983.089711, 1.701, 0.016,1m004,lsc
NGC_1365,u,59983.091404, 1.633, 0.016,1m004,lsc
NGC_1365,u,59984.132594, 1.572, 0.016,1m009,lsc
NGC_1365,u,59984.134286, 1.627, 0.016,1m009,lsc
NGC_1365,u,59985.115135, 1.609, 0.010,1m005,lsc
NGC_1365,u,59985.116827, 1.618, 0.010,1m005,lsc
NGC_1365,u,59985.847711, 1.584, 0.009,1m013,cpt
NGC_1365,u,59985.849415, 1.571, 0.009,1m013,cpt
NGC_1365,u,59987.085167, 1.621, 0.011,1m009,lsc
NGC_1365,u,59987.086894, 1.617, 0.011,1m009,lsc
NGC_1365,u,59987.790238, 1.577, 0.010,1m010,cpt
NGC_1365,u,59987.791954, 1.594, 0.010,1m010,cpt
NGC_1365,u,59989.511027, 1.610, 0.016,1m003,coj
NGC_1365,u,59989.512720, 1.637, 0.016,1m003,coj
NGC_1365,u,59990.106214, 1.627, 0.013,1m004,lsc
NGC_1365,u,59990.107895, 1.667, 0.013,1m004,lsc
NGC_1365,u,59991.507480, 1.637, 0.018,1m011,coj
NGC_1365,u,59991.509195, 1.694, 0.017,1m011,coj
NGC_1365,u,59995.104987, 1.581, 0.009,1m005,lsc
NGC_1365,u,59995.106692, 1.581, 0.009,1m005,lsc
NGC_1365,u,59996.788912, 1.597, 0.010,1m010,cpt
NGC_1365,u,59997.790792, 1.596, 0.009,1m012,cpt
NGC_1365,u,59997.792486, 1.626, 0.009,1m012,cpt
NGC_1365,u,59998.826925, 1.582, 0.009,1m013,cpt
NGC_1365,u,59998.828606, 1.589, 0.009,1m013,cpt
NGC_1365,u,60000.798319, 1.595, 0.010,1m012,cpt
NGC_1365,u,60000.800011, 1.583, 0.010,1m012,cpt
NGC_1365,u,60001.465285, 1.617, 0.016,1m011,coj
NGC_1365,u,60001.467001, 1.588, 0.016,1m011,coj
NGC_1365,u,60003.038550, 1.568, 0.011,1m009,lsc
NGC_1365,u,60003.783403, 1.604, 0.012,1m010,cpt
NGC_1365,u,60003.785103, 1.619, 0.012,1m010,cpt
NGC_1365,u,60004.773392, 1.616, 0.022,1m013,cpt
NGC_1365,u,60004.775084, 1.579, 0.024,1m013,cpt
NGC_1365,u,60006.059232, 1.592, 0.011,1m005,lsc
NGC_1365,u,60006.060936, 1.576, 0.011,1m005,lsc
NGC_1365,u,60006.780248, 1.617, 0.022,1m010,cpt
NGC_1365,u,60006.781952, 1.621, 0.022,1m010,cpt
NGC_1365,u,60008.040746, 1.585, 0.012,1m005,lsc
NGC_1365,u,60008.042439, 1.582, 0.012,1m005,lsc
NGC_1365,u,60009.063095, 1.582, 0.015,1m005,lsc
NGC_1365,u,60009.064789, 1.571, 0.015,1m005,lsc
NGC_1365,u,60010.029703, 1.727, 0.020,1m004,lsc
NGC_1365,u,60010.031396, 1.679, 0.020,1m004,lsc
NGC_1365,u,60011.402054, 1.575, 0.016,1m011,coj
NGC_1365,u,60011.403758, 1.613, 0.017,1m011,coj
NGC_1365,u,60012.444969, 1.617, 0.021,1m011,coj
NGC_1365,u,60012.446672, 1.638, 0.021,1m011,coj
NGC_1365,u,60012.773669, 1.545, 0.010,1m013,cpt
NGC_1365,u,60012.775361, 1.546, 0.010,1m013,cpt
NGC_1365,u,60015.391785, 1.554, 0.015,1m003,coj
NGC_1365,u,60015.393500, 1.574, 0.015,1m003,coj
NGC_1365,u,60016.795918, 1.580, 0.011,1m012,cpt
NGC_1365,u,60016.797611, 1.593, 0.011,1m012,cpt
NGC_1365,u,60018.406880, 1.606, 0.014,1m011,coj
NGC_1365,u,60018.408584, 1.575, 0.014,1m011,coj
NGC_1365,u,60019.409896, 1.594, 0.014,1m011,coj
NGC_1365,u,60019.411600, 1.547, 0.014,1m011,coj
NGC_1365,u,60020.773882, 1.621, 0.012,1m010,cpt
NGC_1365,u,60021.770216, 1.668, 0.026,1m010,cpt
NGC_1365,u,60024.764499, 1.589, 0.011,1m012,cpt
NGC_1365,u,60024.766219, 1.601, 0.011,1m012,cpt
NGC_1365,u,60027.006904, 1.567, 0.009,1m005,lsc
NGC_1365,u,60029.007814, 1.628, 0.011,1m009,lsc
NGC_1365,u,60029.009506, 1.593, 0.011,1m009,lsc
NGC_1365,u,60032.006984, 1.530, 0.010,1m005,lsc
NGC_1365,u,60032.008679, 1.540, 0.010,1m005,lsc
NGC_1365,u,60033.003479, 1.633, 0.015,1m004,lsc
NGC_1365,u,60033.005171, 1.636, 0.015,1m004,lsc
NGC_1365,u,60033.985963, 1.603, 0.012,1m005,lsc
NGC_1365,u,60033.987656, 1.582, 0.011,1m005,lsc
NGC_1365,u,60034.999828, 1.607, 0.017,1m004,lsc
NGC_1365,u,60040.726126, 1.625, 0.018,1m012,cpt
NGC_1365,u,60040.727820, 1.628, 0.018,1m012,cpt
NGC_1365,u,60112.810306, 1.548, 0.018,1m011,coj
NGC_1365,u,60112.812010, 1.611, 0.019,1m011,coj
NGC_1365,u,60121.414160, 1.560, 0.008,1m005,lsc
NGC_1365,u,60121.415864, 1.528, 0.008,1m005,lsc
NGC_1365,u,60121.425192, 1.583, 0.008,1m005,lsc
NGC_1365,u,60121.426884, 1.562, 0.008,1m005,lsc
NGC_1365,B,59798.107235, 4.508, 0.028,1m010,cpt
NGC_1365,B,59798.107896, 4.468, 0.028,1m010,cpt
NGC_1365,B,59803.014860, 4.715, 0.063,1m010,cpt
NGC_1365,B,59803.015497, 4.510, 0.062,1m010,cpt
NGC_1365,B,59807.372289, 5.174, 0.026,1m009,lsc
NGC_1365,B,59807.372949, 7.030, 0.030,1m009,lsc
NGC_1365,B,59813.112561, 4.520, 0.026,1m010,cpt
NGC_1365,B,59813.113210, 4.530, 0.025,1m010,cpt
NGC_1365,B,59817.759120, 4.437, 0.017,1m003,coj
NGC_1365,B,59817.759792, 4.436, 0.017,1m003,coj
NGC_1365,B,59824.026420, 4.444, 0.040,1m012,cpt
NGC_1365,B,59824.027069, 4.490, 0.040,1m012,cpt
NGC_1365,B,59828.195402, 4.501, 0.031,1m004,lsc
NGC_1365,B,59828.196051, 4.461, 0.031,1m004,lsc
NGC_1365,B,59829.937526, 4.431, 0.047,1m010,cpt
NGC_1365,B,59829.938175, 4.396, 0.046,1m010,cpt
NGC_1365,B,59830.940271, 4.444, 0.055,1m010,cpt
NGC_1365,B,59830.940920, 4.506, 0.054,1m010,cpt
NGC_1365,B,59831.985566, 4.434, 0.052,1m010,cpt
NGC_1365,B,59831.986204, 4.435, 0.053,1m010,cpt
NGC_1365,B,59834.171475, 4.575, 0.049,1m001,tfn
NGC_1365,B,59834.172124, 4.372, 0.048,1m001,tfn
NGC_1365,B,59834.987410, 4.354, 0.043,1m010,cpt
NGC_1365,B,59834.988046, 4.374, 0.043,1m010,cpt
NGC_1365,B,59835.957713, 4.370, 0.046,1m012,cpt
NGC_1365,B,59835.958362, 4.263, 0.046,1m012,cpt
NGC_1365,B,59836.999611, 4.287, 0.040,1m013,cpt
NGC_1365,B,59837.000262, 4.349, 0.040,1m013,cpt
NGC_1365,B,59838.041057, 4.323, 0.037,1m012,cpt
NGC_1365,B,59838.041717, 4.364, 0.038,1m012,cpt
NGC_1365,B,59839.082968, 4.437, 0.031,1m013,cpt
NGC_1365,B,59839.083617, 4.391, 0.031,1m013,cpt
NGC_1365,B,59841.170106, 4.449, 0.021,1m009,lsc
NGC_1365,B,59841.170755, 4.401, 0.021,1m009,lsc
NGC_1365,B,59842.900789, 4.296, 0.027,1m013,cpt
NGC_1365,B,59842.901449, 4.341, 0.027,1m013,cpt
NGC_1365,B,59843.278043, 4.434, 0.019,1m009,lsc
NGC_1365,B,59843.278681, 4.372, 0.019,1m009,lsc
NGC_1365,B,59844.290024, 4.454, 0.016,1m005,lsc
NGC_1365,B,59844.290673, 4.416, 0.016,1m005,lsc
NGC_1365,B,59845.329965, 4.548, 0.019,1m009,lsc
NGC_1365,B,59845.330615, 4.386, 0.018,1m009,lsc
NGC_1365,B,59846.346569, 4.455, 0.023,1m004,lsc
NGC_1365,B,59846.347218, 4.525, 0.024,1m004,lsc
NGC_1365,B,59848.155773, 4.413, 0.018,1m005,lsc
NGC_1365,B,59848.156423, 4.386, 0.017,1m005,lsc
NGC_1365,B,59848.899762, 4.433, 0.027,1m013,cpt
NGC_1365,B,59848.900411, 4.415, 0.027,1m013,cpt
NGC_1365,B,59850.878802, 4.493, 0.028,1m013,cpt
NGC_1365,B,59850.879451, 4.511, 0.029,1m013,cpt
NGC_1365,B,59852.873353, 4.504, 0.028,1m013,cpt
NGC_1365,B,59852.874002, 4.495, 0.028,1m013,cpt
NGC_1365,B,59853.870645, 4.474, 0.029,1m013,cpt
NGC_1365,B,59853.871294, 4.387, 0.029,1m013,cpt
NGC_1365,B,59854.681023, 4.445, 0.018,1m011,coj
NGC_1365,B,59854.681673, 4.431, 0.018,1m011,coj
NGC_1365,B,59855.728381, 4.482, 0.017,1m003,coj
NGC_1365,B,59855.729030, 4.434, 0.017,1m003,coj
NGC_1365,B,59856.862388, 4.507, 0.046,1m012,cpt
NGC_1365,B,59856.863037, 4.415, 0.045,1m012,cpt
NGC_1365,B,59857.881661, 4.448, 0.037,1m010,cpt
NGC_1365,B,59857.882311, 4.379, 0.037,1m010,cpt
NGC_1365,B,59858.973323, 4.226, 0.103,1m012,cpt
NGC_1365,B,59859.877650, 4.479, 0.050,1m010,cpt
NGC_1365,B,59859.878299, 4.403, 0.049,1m010,cpt
NGC_1365,B,59860.928412, 4.338, 0.043,1m013,cpt
NGC_1365,B,59860.929061, 4.396, 0.043,1m013,cpt
NGC_1365,B,59863.092444, 4.235, 0.043,1m014,tfn
NGC_1365,B,59863.093105, 4.151, 0.043,1m014,tfn
NGC_1365,B,59864.089652, 4.204, 0.040,1m014,tfn
NGC_1365,B,59864.090301, 4.259, 0.040,1m014,tfn
NGC_1365,B,59865.190255, 4.401, 0.019,1m005,lsc
NGC_1365,B,59865.190905, 4.368, 0.019,1m005,lsc
NGC_1365,B,59866.650470, 4.333, 0.019,1m011,coj
NGC_1365,B,59866.651131, 4.304, 0.019,1m011,coj
NGC_1365,B,59868.268940, 4.363, 0.016,1m005,lsc
NGC_1365,B,59868.269589, 4.377, 0.016,1m005,lsc
NGC_1365,B,59869.303681, 4.389, 0.016,1m005,lsc
NGC_1365,B,59869.304330, 4.415, 0.016,1m005,lsc
NGC_1365,B,59871.118320, 4.430, 0.016,1m005,lsc
NGC_1365,B,59871.118969, 4.431, 0.016,1m005,lsc
NGC_1365,B,59872.088571, 4.301, 0.027,1m013,cpt
NGC_1365,B,59872.089220, 4.293, 0.027,1m013,cpt
NGC_1365,B,59873.255684, 4.373, 0.015,1m005,lsc
NGC_1365,B,59873.256333, 4.378, 0.015,1m005,lsc
NGC_1365,B,59873.915495, 4.263, 0.033,1m012,cpt
NGC_1365,B,59873.916145, 4.403, 0.034,1m012,cpt
NGC_1365,B,59875.104535, 4.345, 0.022,1m014,tfn
NGC_1365,B,59875.105184, 4.281, 0.021,1m014,tfn
NGC_1365,B,59876.045734, 4.397, 0.036,1m012,cpt
NGC_1365,B,59876.046371, 4.430, 0.038,1m012,cpt
NGC_1365,B,59877.037468, 4.348, 0.038,1m010,cpt
NGC_1365,B,59877.038117, 4.351, 0.037,1m010,cpt
NGC_1365,B,59879.024613, 4.362, 0.025,1m013,cpt
NGC_1365,B,59879.025262, 4.313, 0.025,1m013,cpt
NGC_1365,B,59880.606780, 4.430, 0.017,1m011,coj
NGC_1365,B,59880.607429, 4.336, 0.017,1m011,coj
NGC_1365,B,59881.444683, 4.356, 0.020,1m011,coj
NGC_1365,B,59881.445332, 4.364, 0.020,1m011,coj
NGC_1365,B,59885.676527, 4.362, 0.017,1m011,coj
NGC_1365,B,59885.677176, 4.384, 0.018,1m011,coj
NGC_1365,B,59887.114039, 7.213, 0.027,1m009,lsc
NGC_1365,B,59887.114688, 5.916, 0.028,1m009,lsc
NGC_1365,B,59888.738745, 4.338, 0.019,1m011,coj
NGC_1365,B,59888.739394, 4.281, 0.019,1m011,coj
NGC_1365,B,59889.043490, 4.274, 0.032,1m009,lsc
NGC_1365,B,59889.044139, 4.455, 0.031,1m009,lsc
NGC_1365,B,59890.152924, 4.298, 0.024,1m009,lsc
NGC_1365,B,59890.153562, 4.339, 0.024,1m009,lsc
NGC_1365,B,59891.129106, 4.157, 0.032,1m009,lsc
NGC_1365,B,59891.129755, 4.824, 0.038,1m009,lsc
NGC_1365,B,59892.238726, 4.370, 0.033,1m004,lsc
NGC_1365,B,59892.239375, 4.259, 0.028,1m004,lsc
NGC_1365,B,59893.304961, 4.266, 0.027,1m009,lsc
NGC_1365,B,59893.305598, 4.223, 0.025,1m009,lsc
NGC_1365,B,59895.670115, 4.400, 0.041,1m003,coj
NGC_1365,B,59897.237440, 4.398, 0.016,1m009,lsc
NGC_1365,B,59897.238078, 4.335, 0.016,1m009,lsc
NGC_1365,B,59897.583346, 4.369, 0.018,1m011,coj
NGC_1365,B,59897.584007, 4.361, 0.018,1m011,coj
