Object,Filter,MJD,Flux,Error,Tel,Obs
NGC_6814,u,59840.993290, 2.606, 0.024,1m004,lsc
NGC_6814,u,59841.114038, 2.681, 0.024,1m004,lsc
NGC_6814,u,59841.115719, 2.688, 0.025,1m004,lsc
NGC_6814,u,59841.398636, 2.666, 0.012,1m003,coj
NGC_6814,u,59841.400341, 2.681, 0.012,1m003,coj
NGC_6814,u,59841.551492, 2.608, 0.014,1m003,coj
NGC_6814,u,59841.553186, 2.626, 0.015,1m003,coj
NGC_6814,u,59841.863464, 2.682, 0.018,1m010,cpt
NGC_6814,u,59841.865145, 2.689, 0.018,1m010,cpt
NGC_6814,u,59842.062213, 2.755, 0.013,1m009,lsc
NGC_6814,u,59842.063906, 2.743, 0.013,1m009,lsc
NGC_6814,u,59842.084023, 2.687, 0.024,1m004,lsc
NGC_6814,u,59842.085715, 2.678, 0.024,1m004,lsc
NGC_6814,u,59842.162907, 2.643, 0.028,1m004,lsc
NGC_6814,u,59842.164600, 2.678, 0.029,1m004,lsc
NGC_6814,u,59842.745289, 2.800, 0.020,1m012,cpt
NGC_6814,u,59842.771074, 2.733, 0.014,1m013,cpt
NGC_6814,u,59842.772767, 2.756, 0.014,1m013,cpt
NGC_6814,u,59842.867414, 2.734, 0.017,1m010,cpt
NGC_6814,u,59842.869107, 2.730, 0.017,1m010,cpt
NGC_6814,u,59843.128512, 2.784, 0.026,1m004,lsc
NGC_6814,u,59843.130193, 2.792, 0.026,1m004,lsc
NGC_6814,u,59843.222846, 2.740, 0.015,1m008,elp
NGC_6814,u,59843.224550, 2.711, 0.015,1m008,elp
NGC_6814,u,59843.870804, 2.844, 0.012,1m001,tfn
NGC_6814,u,59843.872509, 2.816, 0.012,1m001,tfn
NGC_6814,u,59843.982216, 2.889, 0.014,1m014,tfn
NGC_6814,u,59843.983909, 2.817, 0.014,1m014,tfn
NGC_6814,u,59844.089856, 2.777, 0.026,1m004,lsc
NGC_6814,u,59844.091561, 2.700, 0.026,1m004,lsc
NGC_6814,u,59844.890866, 2.729, 0.012,1m001,tfn
NGC_6814,u,59844.892559, 2.709, 0.012,1m001,tfn
NGC_6814,u,59845.038744, 2.679, 0.013,1m009,lsc
NGC_6814,u,59845.040449, 2.810, 0.014,1m009,lsc
NGC_6814,u,59845.182191, 2.619, 0.014,1m008,elp
NGC_6814,u,59845.183883, 2.657, 0.014,1m008,elp
NGC_6814,u,59845.496497, 2.467, 0.013,1m003,coj
NGC_6814,u,59845.497654, 2.385, 0.038,1m003,coj
NGC_6814,u,59845.864140, 2.281, 0.016,1m010,cpt
NGC_6814,u,59845.865833, 2.268, 0.016,1m010,cpt
NGC_6814,u,59845.930088, 2.274, 0.037,1m012,cpt
NGC_6814,u,59845.931793, 2.245, 0.033,1m012,cpt
NGC_6814,u,59846.117980, 2.232, 0.010,1m005,lsc
NGC_6814,u,59846.119673, 2.218, 0.010,1m005,lsc
NGC_6814,u,59846.538224, 1.929, 0.017,1m011,coj
NGC_6814,u,59846.539917, 1.957, 0.017,1m011,coj
NGC_6814,u,59846.898590, 2.057, 0.082,1m012,cpt
NGC_6814,u,59847.022726, 1.992, 0.028,1m004,lsc
NGC_6814,u,59847.024418, 1.956, 0.028,1m004,lsc
NGC_6814,u,59847.175440, 2.001, 0.012,1m005,lsc
NGC_6814,u,59847.177133, 1.991, 0.012,1m005,lsc
NGC_6814,u,59847.416056, 2.024, 0.011,1m003,coj
NGC_6814,u,59847.417750, 2.004, 0.011,1m003,coj
NGC_6814,u,59847.572175, 1.935, 0.018,1m003,coj
NGC_6814,u,59847.573891, 1.908, 0.018,1m003,coj
NGC_6814,u,59848.035302, 2.164, 0.012,1m009,lsc
NGC_6814,u,59848.036994, 2.155, 0.012,1m009,lsc
NGC_6814,u,59848.139839, 2.135, 0.014,1m009,lsc
NGC_6814,u,59848.141532, 2.170, 0.014,1m009,lsc
NGC_6814,u,59848.832660, 2.432, 0.014,1m013,cpt
NGC_6814,u,59848.834364, 2.410, 0.014,1m013,cpt
NGC_6814,u,59849.107161, 2.525, 0.014,1m009,lsc
NGC_6814,u,59849.108853, 2.509, 0.014,1m009,lsc
NGC_6814,u,59849.229659, 2.484, 0.015,1m006,elp
NGC_6814,u,59849.231351, 2.437, 0.016,1m006,elp
NGC_6814,u,59849.920619, 2.303, 0.040,1m013,cpt
NGC_6814,u,59849.922346, 2.478, 0.059,1m013,cpt
NGC_6814,u,59850.014278, 2.450, 0.023,1m004,lsc
NGC_6814,u,59850.015959, 2.452, 0.023,1m004,lsc
NGC_6814,u,59850.169340, 2.426, 0.018,1m009,lsc
NGC_6814,u,59850.171032, 2.410, 0.018,1m009,lsc
NGC_6814,u,59850.218085, 2.498, 0.014,1m006,elp
NGC_6814,u,59850.219765, 2.517, 0.014,1m006,elp
NGC_6814,u,59850.736553, 2.467, 0.014,1m013,cpt
NGC_6814,u,59850.738245, 2.490, 0.014,1m013,cpt
NGC_6814,u,59850.835991, 2.530, 0.028,1m012,cpt
NGC_6814,u,59850.837684, 2.513, 0.037,1m012,cpt
NGC_6814,u,59851.083167, 2.530, 0.010,1m005,lsc
NGC_6814,u,59851.084860, 2.548, 0.010,1m005,lsc
NGC_6814,u,59851.170449, 2.467, 0.013,1m005,lsc
NGC_6814,u,59851.172142, 2.470, 0.013,1m005,lsc
NGC_6814,u,59851.827036, 2.274, 0.015,1m001,tfn
NGC_6814,u,59851.828728, 2.270, 0.014,1m001,tfn
NGC_6814,u,59851.958983, 2.333, 0.045,1m001,tfn
NGC_6814,u,59851.960688, 2.341, 0.049,1m001,tfn
NGC_6814,u,59852.054893, 2.419, 0.010,1m005,lsc
NGC_6814,u,59852.056585, 2.435, 0.010,1m005,lsc
NGC_6814,u,59852.384807, 2.259, 0.013,1m011,coj
NGC_6814,u,59852.386500, 2.253, 0.013,1m011,coj
NGC_6814,u,59852.734396, 2.306, 0.021,1m012,cpt
NGC_6814,u,59852.736077, 2.298, 0.021,1m012,cpt
NGC_6814,u,59852.756273, 2.344, 0.020,1m012,cpt
NGC_6814,u,59852.757966, 2.308, 0.020,1m012,cpt
NGC_6814,u,59853.044848, 2.294, 0.010,1m005,lsc
NGC_6814,u,59853.046541, 2.304, 0.010,1m005,lsc
NGC_6814,u,59853.214623, 2.222, 0.014,1m006,elp
NGC_6814,u,59853.216338, 2.210, 0.014,1m006,elp
NGC_6814,u,59853.388297, 2.207, 0.012,1m003,coj
NGC_6814,u,59853.389979, 2.177, 0.012,1m003,coj
NGC_6814,u,59853.481659, 2.107, 0.014,1m003,coj
NGC_6814,u,59853.483364, 2.123, 0.014,1m003,coj
NGC_6814,u,59853.752615, 2.106, 0.021,1m012,cpt
NGC_6814,u,59853.754308, 2.109, 0.021,1m012,cpt
NGC_6814,u,59853.846545, 2.049, 0.016,1m013,cpt
NGC_6814,u,59853.848237, 2.028, 0.016,1m013,cpt
NGC_6814,u,59854.009601, 2.066, 0.010,1m005,lsc
NGC_6814,u,59854.011306, 2.041, 0.010,1m005,lsc
NGC_6814,u,59854.213019, 1.926, 0.015,1m008,elp
NGC_6814,u,59854.214712, 1.926, 0.016,1m008,elp
NGC_6814,u,59854.382405, 1.811, 0.014,1m011,coj
NGC_6814,u,59854.384110, 1.838, 0.014,1m011,coj
NGC_6814,u,59854.551322, 1.673, 0.022,1m011,coj
NGC_6814,u,59854.553014, 1.676, 0.022,1m011,coj
NGC_6814,u,59854.753285, 1.775, 0.015,1m010,cpt
NGC_6814,u,59854.754991, 1.805, 0.015,1m010,cpt
NGC_6814,u,59855.046552, 1.855, 0.018,1m009,lsc
NGC_6814,u,59855.048246, 1.701, 0.018,1m009,lsc
NGC_6814,u,59855.092962, 1.736, 0.025,1m004,lsc
NGC_6814,u,59855.094655, 1.700, 0.025,1m004,lsc
NGC_6814,u,59857.066006, 1.933, 0.031,1m004,lsc
NGC_6814,u,59857.067699, 1.891, 0.031,1m004,lsc
NGC_6814,u,59857.740041, 2.105, 0.055,1m013,cpt
NGC_6814,u,59857.741745, 1.988, 0.051,1m013,cpt
NGC_6814,u,59857.844188, 2.058, 0.027,1m010,cpt
NGC_6814,u,59857.845880, 2.090, 0.028,1m010,cpt
NGC_6814,u,59858.073385, 2.020, 0.021,1m009,lsc
NGC_6814,u,59858.075077, 1.995, 0.021,1m009,lsc
NGC_6814,u,59858.129077, 2.067, 0.020,1m005,lsc
NGC_6814,u,59858.130769, 2.038, 0.020,1m005,lsc
NGC_6814,u,59858.964953, 1.972, 0.094,1m001,tfn
NGC_6814,u,59859.097699, 2.123, 0.038,1m004,lsc
NGC_6814,u,59859.099385, 2.064, 0.038,1m004,lsc
NGC_6814,u,59859.737893, 2.052, 0.021,1m013,cpt
NGC_6814,u,59859.739585, 2.040, 0.020,1m013,cpt
NGC_6814,u,59859.812831, 2.031, 0.025,1m013,cpt
NGC_6814,u,59859.814524, 1.978, 0.024,1m013,cpt
NGC_6814,u,59859.926295, 2.007, 0.027,1m001,tfn
NGC_6814,u,59859.927999, 2.082, 0.027,1m001,tfn
NGC_6814,u,59860.812405, 2.647, 0.036,1m010,cpt
NGC_6814,u,59860.814109, 1.899, 0.037,1m010,cpt
NGC_6814,u,59860.944396, 1.941, 0.045,1m014,tfn
NGC_6814,u,59860.946077, 1.870, 0.052,1m014,tfn
NGC_6814,u,59861.096253, 1.972, 0.019,1m005,lsc
NGC_6814,u,59861.097957, 1.978, 0.019,1m005,lsc
NGC_6814,u,59861.468302, 1.879, 0.025,1m011,coj
NGC_6814,u,59861.469995, 1.760, 0.025,1m011,coj
NGC_6814,u,59862.056003, 2.035, 0.016,1m005,lsc
NGC_6814,u,59862.057695, 2.014, 0.016,1m005,lsc
NGC_6814,u,59862.140762, 1.979, 0.029,1m005,lsc
NGC_6814,u,59862.142454, 1.998, 0.030,1m005,lsc
NGC_6814,u,59862.440812, 2.012, 0.017,1m003,coj
NGC_6814,u,59862.442516, 2.016, 0.018,1m003,coj
NGC_6814,u,59862.468245, 1.959, 0.022,1m011,coj
NGC_6814,u,59862.469949, 1.945, 0.022,1m011,coj
NGC_6814,u,59862.818531, 2.166, 0.014,1m001,tfn
NGC_6814,u,59862.820224, 2.152, 0.014,1m001,tfn
NGC_6814,u,59862.951514, 2.085, 0.027,1m014,tfn
NGC_6814,u,59862.953207, 2.091, 0.027,1m014,tfn
NGC_6814,u,59863.112437, 2.057, 0.041,1m004,lsc
NGC_6814,u,59863.114118, 2.041, 0.041,1m004,lsc
NGC_6814,u,59863.490090, 1.916, 0.025,1m003,coj
NGC_6814,u,59863.491794, 1.914, 0.026,1m003,coj
NGC_6814,u,59864.047475, 1.993, 0.009,1m005,lsc
NGC_6814,u,59864.049169, 2.000, 0.010,1m005,lsc
NGC_6814,u,59864.188048, 1.839, 0.021,1m006,elp
NGC_6814,u,59864.189729, 1.882, 0.021,1m006,elp
NGC_6814,u,59864.528424, 1.800, 0.031,1m011,coj
NGC_6814,u,59864.530128, 1.810, 0.030,1m011,coj
NGC_6814,u,59864.993116, 1.996, 0.010,1m005,lsc
NGC_6814,u,59864.994808, 1.970, 0.009,1m005,lsc
NGC_6814,u,59865.741247, 1.983, 0.017,1m013,cpt
NGC_6814,u,59865.742929, 1.944, 0.016,1m013,cpt
NGC_6814,u,59865.818932, 1.982, 0.018,1m010,cpt
NGC_6814,u,59865.820636, 1.980, 0.018,1m010,cpt
NGC_6814,u,59866.067457, 1.953, 0.024,1m004,lsc
NGC_6814,u,59866.069149, 1.932, 0.023,1m004,lsc
NGC_6814,u,59866.138352, 2.045, 0.012,1m006,elp
NGC_6814,u,59866.140040, 2.051, 0.013,1m006,elp
NGC_6814,u,59866.449173, 2.054, 0.012,1m003,coj
NGC_6814,u,59866.450877, 2.059, 0.012,1m003,coj
NGC_6814,u,59866.468347, 2.044, 0.014,1m011,coj
NGC_6814,u,59866.470051, 2.023, 0.014,1m011,coj
NGC_6814,u,59866.821548, 2.058, 0.040,1m013,cpt
NGC_6814,u,59866.823241, 2.066, 0.029,1m013,cpt
NGC_6814,u,59866.847345, 2.085, 0.036,1m013,cpt
NGC_6814,u,59866.849038, 2.024, 0.039,1m013,cpt
NGC_6814,u,59867.116966, 2.036, 0.029,1m004,lsc
NGC_6814,u,59867.118647, 2.106, 0.030,1m004,lsc
NGC_6814,u,59867.509170, 2.137, 0.018,1m003,coj
NGC_6814,u,59867.510876, 2.154, 0.020,1m003,coj
NGC_6814,u,59868.033571, 2.324, 0.009,1m005,lsc
NGC_6814,u,59868.035263, 2.318, 0.010,1m005,lsc
NGC_6814,u,59868.448102, 2.125, 0.014,1m003,coj
NGC_6814,u,59868.449795, 2.115, 0.013,1m003,coj
NGC_6814,u,59868.941090, 2.206, 0.017,1m001,tfn
NGC_6814,u,59868.942782, 2.193, 0.016,1m001,tfn
NGC_6814,u,59869.031149, 2.251, 0.009,1m005,lsc
NGC_6814,u,59869.032842, 2.266, 0.009,1m005,lsc
NGC_6814,u,59869.863242, 2.041, 0.020,1m010,cpt
NGC_6814,u,59869.864959, 2.010, 0.021,1m010,cpt
NGC_6814,u,59869.995845, 2.144, 0.010,1m005,lsc
NGC_6814,u,59869.997538, 2.148, 0.010,1m005,lsc
NGC_6814,u,59870.823355, 2.178, 0.017,1m001,tfn
NGC_6814,u,59870.825059, 2.187, 0.017,1m001,tfn
NGC_6814,u,59870.858141, 1.985, 0.026,1m013,cpt
NGC_6814,u,59870.859903, 2.073, 0.027,1m013,cpt
NGC_6814,u,59871.093298, 2.134, 0.011,1m005,lsc
NGC_6814,u,59871.094992, 2.130, 0.011,1m005,lsc
NGC_6814,u,59871.864790, 2.009, 0.051,1m012,cpt
NGC_6814,u,59871.866470, 1.876, 0.052,1m012,cpt
NGC_6814,u,59872.080273, 1.981, 0.030,1m006,elp
NGC_6814,u,59872.081965, 1.967, 0.024,1m006,elp
NGC_6814,u,59872.766827, 1.995, 0.022,1m012,cpt
NGC_6814,u,59872.768520, 1.960, 0.022,1m012,cpt
NGC_6814,u,59872.917780, 2.019, 0.014,1m014,tfn
NGC_6814,u,59872.919472, 1.983, 0.014,1m014,tfn
NGC_6814,u,59873.151681, 2.098, 0.013,1m006,elp
NGC_6814,u,59873.153362, 2.097, 0.013,1m006,elp
NGC_6814,u,59873.841841, 2.093, 0.021,1m010,cpt
NGC_6814,u,59873.843534, 2.070, 0.021,1m010,cpt
NGC_6814,u,59874.069865, 2.190, 0.011,1m006,elp
NGC_6814,u,59874.071557, 2.181, 0.011,1m006,elp
NGC_6814,u,59874.128972, 2.130, 0.012,1m006,elp
NGC_6814,u,59874.130653, 2.081, 0.013,1m006,elp
NGC_6814,u,59874.819888, 1.861, 0.041,1m010,cpt
NGC_6814,u,59874.821592, 1.844, 0.059,1m010,cpt
NGC_6814,u,59874.902952, 1.860, 0.014,1m014,tfn
NGC_6814,u,59874.904644, 1.841, 0.015,1m014,tfn
NGC_6814,u,59875.064905, 1.864, 0.012,1m008,elp
NGC_6814,u,59875.066597, 1.885, 0.012,1m008,elp
NGC_6814,u,59875.845022, 1.666, 0.054,1m012,cpt
NGC_6814,u,59876.075633, 1.662, 0.011,1m006,elp
NGC_6814,u,59876.077313, 1.664, 0.011,1m006,elp
NGC_6814,u,59876.432672, 1.663, 0.014,1m011,coj
NGC_6814,u,59876.434366, 1.667, 0.028,1m011,coj
NGC_6814,u,59877.051133, 2.043, 0.027,1m008,elp
NGC_6814,u,59877.052837, 1.905, 0.025,1m008,elp
NGC_6814,u,59877.835878, 1.855, 0.024,1m010,cpt
NGC_6814,u,59877.837571, 1.784, 0.023,1m010,cpt
NGC_6814,u,59878.391454, 1.823, 0.014,1m011,coj
NGC_6814,u,59878.393160, 1.828, 0.014,1m011,coj
NGC_6814,u,59878.482723, 1.749, 0.024,1m011,coj
NGC_6814,u,59878.484417, 1.712, 0.022,1m011,coj
NGC_6814,u,59878.749531, 1.837, 0.016,1m013,cpt
NGC_6814,u,59878.751223, 1.833, 0.016,1m013,cpt
NGC_6814,u,59878.840327, 1.794, 0.021,1m013,cpt
NGC_6814,u,59878.842008, 1.837, 0.021,1m013,cpt
NGC_6814,u,59879.143051, 1.995, 0.013,1m006,elp
NGC_6814,u,59879.144731, 1.967, 0.013,1m006,elp
NGC_6814,u,59879.474874, 1.851, 0.016,1m011,coj
NGC_6814,u,59879.476579, 1.898, 0.017,1m011,coj
NGC_6814,u,59879.768076, 1.997, 0.021,1m012,cpt
NGC_6814,u,59879.769768, 1.989, 0.021,1m012,cpt
NGC_6814,u,59879.778139, 1.979, 0.022,1m012,cpt
NGC_6814,u,59879.779831, 1.966, 0.022,1m012,cpt
NGC_6814,u,59879.820104, 1.926, 0.026,1m012,cpt
NGC_6814,u,59879.821796, 1.924, 0.027,1m012,cpt
NGC_6814,u,59880.096155, 2.057, 0.012,1m006,elp
NGC_6814,u,59880.097847, 2.047, 0.012,1m006,elp
NGC_6814,u,59880.805045, 2.022, 0.017,1m013,cpt
NGC_6814,u,59880.806740, 2.013, 0.017,1m013,cpt
NGC_6814,u,59881.096689, 2.098, 0.013,1m006,elp
NGC_6814,u,59881.098369, 2.060, 0.013,1m006,elp
NGC_6814,u,59881.406890, 2.027, 0.014,1m011,coj
NGC_6814,u,59881.408582, 2.021, 0.014,1m011,coj
NGC_6814,u,59885.089201, 1.914, 0.014,1m006,elp
NGC_6814,u,59885.090893, 1.878, 0.014,1m006,elp
NGC_6814,u,59886.110269, 1.764, 0.017,1m006,elp
NGC_6814,u,59886.111961, 1.812, 0.017,1m006,elp
NGC_6814,u,59886.879230, 1.697, 0.020,1m014,tfn
NGC_6814,u,59886.880934, 1.743, 0.020,1m014,tfn
NGC_6814,u,59887.118394, 1.686, 0.022,1m006,elp
NGC_6814,u,59887.120086, 1.739, 0.024,1m006,elp
NGC_6814,u,59887.405408, 1.629, 0.020,1m011,coj
NGC_6814,u,59887.407113, 1.653, 0.020,1m011,coj
NGC_6814,u,59887.866531, 1.690, 0.020,1m014,tfn
NGC_6814,u,59887.868224, 1.676, 0.019,1m014,tfn
NGC_6814,u,59887.884337, 1.680, 0.022,1m014,tfn
NGC_6814,u,59887.886029, 1.635, 0.022,1m014,tfn
NGC_6814,u,59888.121687, 1.634, 0.030,1m008,elp
NGC_6814,u,59888.123380, 1.631, 0.031,1m008,elp
NGC_6814,u,59888.398192, 1.616, 0.022,1m011,coj
NGC_6814,u,59888.399897, 1.648, 0.022,1m011,coj
NGC_6814,u,59889.064742, 1.836, 0.024,1m004,lsc
NGC_6814,u,59889.066423, 1.845, 0.024,1m004,lsc
NGC_6814,u,59889.812042, 1.909, 0.018,1m014,tfn
NGC_6814,u,59889.813736, 1.907, 0.018,1m014,tfn
NGC_6814,u,59890.030119, 1.892, 0.033,1m009,lsc
NGC_6814,u,59890.031812, 1.857, 0.035,1m009,lsc
NGC_6814,u,59890.093871, 1.851, 0.023,1m008,elp
NGC_6814,u,59890.095564, 1.894, 0.023,1m008,elp
NGC_6814,u,59890.802483, 1.912, 0.019,1m014,tfn
NGC_6814,u,59890.804175, 1.910, 0.019,1m014,tfn
NGC_6814,u,59890.878837, 1.826, 0.032,1m014,tfn
NGC_6814,u,59890.880518, 1.855, 0.033,1m014,tfn
NGC_6814,u,59891.115213, 1.709, 0.040,1m008,elp
NGC_6814,u,59891.116905, 1.834, 0.038,1m008,elp
NGC_6814,u,59891.856895, 1.649, 0.026,1m014,tfn
NGC_6814,u,59891.858588, 1.713, 0.028,1m014,tfn
NGC_6814,u,59892.037653, 1.885, 0.017,1m009,lsc
NGC_6814,u,59892.039345, 1.796, 0.017,1m009,lsc
NGC_6814,u,59892.406716, 1.626, 0.016,1m003,coj
